,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,53,PF,1562992289,75,-9.8,-139.03,80.69,14.61
1,Punta Arenas,90,CL,1562992293,100,-53.16,-70.91,39.2,10.29
2,Solnechnyy,100,RU,1562992326,86,50.72,136.64,65.93,3.38
3,Constitucion,91,MX,1562992422,87,23.99,-104.67,62.01,6.42
4,Ayan,0,IR,1562992424,27,38.23,44.7,78.8,4.7
5,Vaini,75,IN,1562992279,83,15.34,74.49,77.0,9.17
6,Mansoa,75,GW,1562992426,94,12.07,-15.32,69.8,4.7
7,Ponta do Sol,0,BR,1562992427,62,-20.63,-46.0,55.67,1.5
8,Mazarron,0,ES,1562992429,57,37.6,-1.31,80.01,2.24
9,Tiksi,42,RU,1562992430,55,71.64,128.87,49.19,5.77
10,Port Alfred,1,ZA,1562992278,91,-33.59,26.89,55.0,1.99
11,Bathsheba,40,BB,1562992325,78,13.22,-59.52,80.6,14.99
12,Rikitea,56,PF,1562992303,81,-23.12,-134.97,74.03,11.43
13,Santa Cruz,3,BR,1562992406,86,-6.22,-36.02,67.19,9.91
14,Mataura,99,NZ,1562992387,88,-46.19,168.86,51.01,1.01
15,Hobart,75,AU,1562992298,57,-42.88,147.33,48.2,14.99
16,Port Elizabeth,1,US,1562992280,94,39.31,-74.98,77.0,3.24
17,Ambon,0,FR,1562992439,93,47.55,-2.56,60.01,13.87
18,Kutoarjo,1,ID,1562992440,51,-7.72,109.9,84.11,11.03
19,Yenagoa,87,NG,1562992441,94,4.92,6.26,72.95,1.05
20,Tuktoyaktuk,40,CA,1562992443,66,69.44,-133.03,50.0,5.82
21,Aklavik,20,CA,1562992444,54,68.22,-135.01,55.4,5.82
22,Khatanga,94,RU,1562992445,62,71.98,102.47,55.85,9.1
23,Ushuaia,75,AR,1562992271,80,-54.81,-68.31,39.2,6.93
24,Sao Filipe,0,CV,1562992448,85,14.9,-24.5,72.05,14.5
25,Bohl-Iggelheim,75,DE,1562992449,87,49.38,8.3,60.01,3.36
26,Thompson,40,CA,1562992152,59,55.74,-97.86,64.4,5.82
27,East London,0,ZA,1562992095,87,-33.02,27.91,57.2,10.29
28,Sabancuy,100,MX,1562992452,70,18.97,-91.18,83.03,18.92
29,Sola,99,TZ,1562992454,66,-3.17,33.8,68.27,3.29
30,Zhigansk,100,RU,1562992455,48,66.77,123.37,68.63,19.39
31,Saint George,20,GR,1562992316,93,39.45,22.34,64.4,1.25
32,Ballina,97,IE,1562992457,83,54.11,-9.15,57.0,1.99
33,Kapaa,1,US,1562992290,69,22.08,-159.32,84.2,17.22
34,Ribeira Grande,21,PT,1562992460,87,38.52,-28.7,71.69,14.07
35,Vardo,40,US,1562992461,88,39.62,-77.74,71.6,2.66
36,Turukhansk,85,RU,1562992462,45,65.8,87.96,72.77,13.67
37,Fatehabad,75,IN,1562992463,75,27.03,78.3,89.6,13.87
38,Burnie,11,AU,1562992465,67,-41.05,145.91,43.97,11.61
39,Mahebourg,40,MU,1562992284,82,-20.41,57.7,70.0,3.36
40,Saldanha,71,PT,1562992467,58,41.42,-6.55,71.69,3.98
41,Barrow,0,AR,1562992309,75,-38.31,-60.23,41.27,4.9
42,Geraldton,40,CA,1562992191,82,49.72,-86.95,62.6,4.7
43,Beringovskiy,47,RU,1562992308,51,63.05,179.32,70.97,0.98
